名称,品牌,商圈,商圈距离m,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点,采用
茶百道(杭州龙湖金沙天街新店),茶百道,龙湖杭州金沙天街,71,1.8,3.8,0.5485,2.084,1.712,,,
周四晚·不止碰到茶(杭州东站万象汇店),周四晚,杭州东站万象汇,60,1.6,10.0,0.5765,5.765,5.584,,,
古茗(萧山万象汇店),古茗,杭州萧山万象汇,149,2.2,2.6,0.8349,2.171,2.143,,Y,
古茗(杭州浙大望月店),古茗,宝港生活广场,376,2.2,6.6,0.5704,3.764,3.97,,,
茶百道(杭州新天地店 ),茶百道,G193生活购物中心,359,1.8,3.6,0.9893,3.561,3.561,,,
茶百道(滨江宝龙店),茶百道,滨江宝龙城市广场商业街,37,1.8,1.2,0.6341,0.761,0.76,,,
古茗(萧山奥体印象城店),古茗,印力汇德隆杭州奥体印象城,52,2.2,1.8,0.9348,1.683,1.683,,Y,
茶百道(同顺路店),茶百道,天空藤集,628,1.8,2.4,0.9334,2.24,2.265,,Y,
古茗(滨江网商路店),古茗,安放山泽里,485,2.2,1.8,1.0,1.8,1.8,,Y,
CoCo都可(杭州萧山联合中心店),CoCo,五金电器商场(新市民公寓店),609,1.8,5.6,0.8804,4.93,4.672,,,
蜜雪冰城(三花国际店),蜜雪冰城,港龙悠乐城,202,2.5,2.0,0.7237,1.447,1.447,,,
麦记牛奶(东站万象汇店),麦记牛奶,杭州东站万象汇,20,1.4,10.0,0.4395,4.395,5.584,,,
CoCo都可(杭州之翼店),CoCo,杭州德信中心商场,225,1.8,7.8,0.8205,6.4,3.923,,,
茶百道(杭州西溪银泰城店),茶百道,杭州西溪银泰城,62,1.8,5.2,0.9445,4.911,4.591,,,
奈雪的茶(杭州大厦PRO店),奈雪,杭州大厦购物城·中央商城,48,1.8,6.6,0.8884,5.863,5.863,,,
古茗(下城新天地店),古茗,新天地购物中心,41,2.2,5.2,0.8883,4.619,4.619,,,
蜜雪冰城(吾角天街店),蜜雪冰城,吾角MALL,110,2.5,2.8,0.9533,2.669,2.669,,Y,
蜜雪冰城(望月店),蜜雪冰城,宝港生活广场,376,2.5,6.6,0.6328,4.176,3.97,,,
