名称,品牌,商圈,商圈距离m,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点,采用
古茗(鹿城龟湖路店),古茗,南塘步行街,544,2.2,1.6,0.859,1.374,1.592,,Y,
瑞幸咖啡(民航路店),瑞幸,双井坊街区,541,2.2,1.6,0.8561,1.37,4.747,,Y,
古茗(鹿城学院西路店),古茗,双井坊街区,407,2.2,5.0,0.9495,4.747,4.747,,,
裕莲茶楼(温州滨江万象城店),裕莲茶楼,温州滨江万象城,17,1.5,5.0,0.3195,1.598,1.716,0.9312,,Y
蜜雪冰城(南塘五组团1栋105室),蜜雪冰城,白鹿洲文化商场,354,2.5,2.0,0.6038,1.208,1.147,,,
瑞幸咖啡(温州滨江万象城金街店),瑞幸,温州滨江万象城,186,2.2,4.2,0.6658,2.796,1.716,1.6299,,Y
茉莉奶白(温州滨江万象城店),茉莉奶白,温州滨江万象城,3,1.5,5.0,0.3431,1.716,1.716,1.0,,Y
古茗(鹿城南塘五组团店),古茗,白鹿洲文化商场,348,2.2,2.0,0.5428,1.086,1.147,,,
霸王茶姬(浙江温州滨江万象城店),霸王茶姬,温州滨江万象城,146,2.0,4.2,0.4527,1.902,1.716,1.1083,,Y
Tamkoko泰柯茶园(温州滨江万象城店),Tamkoko泰柯茶园,温州滨江万象城,8,1.2,5.0,0.2643,1.321,1.716,0.7701,,Y
OT另茶(温州滨江万象城店),OT另茶,温州滨江万象城,85,1.4,4.2,0.3503,1.471,1.716,0.8575,,Y
喜茶(温州滨江万象城店),喜茶,温州滨江万象城,113,2.0,4.2,0.4386,1.842,1.716,1.0738,,Y
瑞幸咖啡(温州万科中心店),瑞幸,南塘步行街,105,2.2,2.0,0.7959,1.592,1.592,,,
茉莉奶白(温州鹿城世贸银泰店),茉莉奶白,银泰百货世贸店B馆,8,1.5,9.8,0.1679,1.645,2.403,0.6845,,Y
古茗(鹿城黎明西路店),古茗,华丰电动工具商场(东方大厦店),562,2.2,4.0,1.0,4.0,4.0,,,
古茗(鹿城龙汇广场店),古茗,南塘新天地,623,2.2,3.2,0.7367,2.358,1.873,,,
古茗(鹿城飞霞南路店),古茗,闻宅巷步行街,276,2.2,13.8,0.6038,8.333,7.131,,,
蜜雪冰城(学院西路24h店),蜜雪冰城,闻宅巷步行街,322,2.5,9.8,0.7277,7.131,7.131,,,
茶百道(温州南塘新天地店),茶百道,南塘新天地,30,1.8,2.8,0.8338,2.335,1.873,,Y,
奈雪的茶(温州世贸银泰百货店),奈雪,银泰百货(温州世贸中心大厦店),5,1.8,9.8,0.1931,1.892,1.9,,,
古茗(鹿城银泰世贸店),古茗,银泰百货世贸店B馆,103,2.2,9.8,0.5017,4.917,2.403,2.0457,,Y
蜜雪冰城(泽霞24h店),蜜雪冰城,新南站商城,943,2.5,2.4,0.7263,1.743,3.53,,,
luckin coffee 瑞幸咖啡(银泰百货世贸B馆店),瑞幸,银泰百货世贸店B馆,7,2.2,9.8,0.247,2.42,2.403,1.0071,,Y
1点点(永泰大厦店),一点点,闻宅巷步行街,276,1.6,13.8,0.4589,6.332,7.131,,,
沪上阿姨·精选茶饮(温州鹿城世贸银泰店),沪上阿姨,银泰百货(温州世贸中心大厦店),2,1.8,9.8,0.2136,2.093,1.9,,,
1点点(南塘新天地店),一点点,南塘新天地,59,1.6,1.2,0.8085,0.97,1.873,,Y,
古茗(鹿城欧洲城店),古茗,欧洲城B区,66,2.2,7.0,0.6331,4.432,6.437,,,
霸王茶姬(浙江温州鹿城纱帽河店),霸王茶姬,纱帽河商城,46,2.0,10.2,0.2875,2.932,3.886,0.7545,,Y
霸王茶姬(温州公园路店),霸王茶姬,We+名城广场B馆,271,2.0,6.6,0.5263,3.474,3.585,,,
瑞幸咖啡,瑞幸,南塘新天地,515,2.2,1.6,0.8825,1.412,1.873,,Y,
茶百道(温州鹿城欧洲城店),茶百道,欧洲城B区,293,1.8,9.2,0.9176,8.441,6.437,,,
蜜雪冰城(欧洲城店星巴克咖啡旁边),蜜雪冰城,欧洲城(矮凳桥路),42,2.5,5.4,0.5659,3.056,2.707,,,
喜茶(温州纱帽河店),喜茶,纱帽河商城,39,2.0,12.6,0.3725,4.694,3.886,1.2077,,Y
蜜雪冰城(环球大厦24h店),蜜雪冰城,开太百货,54,2.5,9.6,0.4336,4.163,3.931,,,
1点点(温州世贸中心大厦银泰百货店),一点点,银泰百货世贸店B馆,3,1.6,9.8,0.1877,1.839,2.403,0.7654,,Y
茶百道(温州鹿城欧洲城店),茶百道,欧洲城(矮凳桥路),83,1.8,5.4,0.4366,2.357,2.707,,,
爷爷不泡茶NOYEYENOTEA(温州鹿城纱帽河店),爷爷不泡茶,中荣城市广场(柴桥巷),86,2.0,13.2,0.5411,7.143,7.843,0.9108,,Y
古茗(鹿城纱帽河店),古茗,纱帽河商城,29,2.2,10.2,0.3246,3.311,3.886,0.8519,,Y
茶百道(温州鹿城公园路店),茶百道,We+名城广场(五马步行街店),53,1.8,8.6,0.4609,3.964,3.964,,,
古茗(鹿城解放街店),古茗,纱帽河商城,57,2.2,11.0,0.4056,4.462,3.886,1.1481,,Y
1点点(欧洲城店),一点点,欧洲城C区,58,1.6,4.6,0.4287,1.972,1.972,,,
蜜雪冰城(纱帽河女人街88号颗颗水果捞旁),蜜雪冰城,五马步行街,109,2.5,12.6,0.5465,6.886,6.886,,,
1点点(温州影都大楼店),一点点,纱帽河商城,149,1.6,13.6,0.4977,6.769,3.886,1.7417,,Y
古茗(鹿城人民中路店),古茗,中荣城市广场(柴桥巷),170,2.2,13.0,0.6033,7.843,7.843,1.0,,Y
古茗(温州公园路店),古茗,We+名城广场B馆,179,2.2,7.0,0.6461,4.523,3.585,,,
古茗(人民中路店),古茗,中荣城市广场(柴桥巷),133,2.2,13.2,0.5783,7.633,7.843,0.9733,,Y
古茗(解放街店),古茗,开太百货,48,2.2,9.6,0.3853,3.698,3.931,,,
春莱·老挝冰咖啡·泰式奶茶(温州世贸店),春莱,银泰百货世贸店B馆,33,1.4,9.6,0.2503,2.403,2.403,1.0,,Y
1点点(文华大厦店),一点点,中荣城市广场(柴桥巷),140,1.6,13.2,0.6355,8.388,7.843,1.0695,,Y
益禾堂(温州解放街店),益禾堂,纱帽河商城,55,1.7,10.2,0.2502,2.552,3.886,0.6568,,Y
古茗(鹿城华电新都店),古茗,海港商城,196,2.2,6.6,0.9116,6.016,6.016,,,
奈雪的茶(温州世贸银泰店),奈雪,银泰百货(温州世贸中心大厦店),5,1.8,9.8,0.1939,1.9,1.9,,,
蜜雪冰城(公园路商业街店),蜜雪冰城,We+名城广场B馆,255,2.5,6.8,0.5272,3.585,3.585,,,
古茗(鹿城乘凉桥店),古茗,中荣城市广场(柴桥巷),299,2.2,11.6,0.8321,9.653,7.843,1.2308,,Y
蜜雪冰城(小南路24h店),蜜雪冰城,中荣城市广场(柴桥巷),371,2.5,9.0,0.8936,8.042,7.843,1.0254,,Y
古茗(瓯海万邦中心店),古茗,温州万象城,182,2.2,10.6,0.8764,9.289,7.891,,,
古茗(瓯海银泰店),古茗,银泰百货(温州瓯海店),28,2.2,3.4,0.4713,1.603,1.154,1.3888,,Y
CoCo都可(温州万达广场店),CoCo,温州龙湾万达广场-来电,34,1.8,13.2,0.8684,11.463,11.463,,,
古茗(平阳解放街店),古茗,雅丹数码商场(华厦小区店),106,2.2,2.0,1.0,2.0,1.0,,Y,
古茗奶茶(翔金垟店),古茗,乐联超市(华联大厦店),178,2.2,2.8,0.7532,2.109,1.994,,,
茶百道(温州瑞安吾悦广场店),茶百道,第吾大道步行街(吾悦广场店),16,1.8,3.8,0.7568,2.876,2.992,,,
茶百道(温州龙湾万达广场店(新)),茶百道,温州龙湾万达广场-来电,128,1.8,13.2,0.879,11.603,11.463,,,
茶百道(瓯海大西洋银泰店),茶百道,银泰百货(温州瓯海店),29,1.8,5.0,0.4595,2.298,1.154,1.9911,,Y
麦记牛奶(温州瓯海大西洋银泰店),麦记牛奶,银泰百货(温州瓯海店),62,1.4,2.6,0.3125,0.813,1.154,0.7042,,Y
茶百道(温州市南虹广场店),茶百道,乐清南虹广场,78,1.8,1.4,0.8936,1.251,1.251,,Y,
麦记牛奶(温州万象城店),麦记牛奶,温州万象城,58,1.4,11.4,0.5696,6.493,7.891,,,
古茗(鹿城西城路店),古茗,白鹿商城(西城路店),308,2.2,6.8,1.0,6.8,6.8,,,
古茗(蝉街店),古茗,蝉街商厦,176,2.2,10.8,0.5742,6.202,6.202,,,
麦记牛奶(温州印象城店),麦记牛奶,温州印象城MEGA,45,1.4,12.4,0.1595,1.978,2.78,0.7116,,Y
茶百道(大兴西路店),茶百道,乐联超市(华联大厦店),201,1.8,2.8,0.6713,1.88,1.994,,,
古茗(苍南莲池路店),古茗,苍南仁英路步行街,99,2.2,1.0,1.0,1.0,1.0,,Y,
古茗(平阳联东路店),古茗,雅丹数码商场(华厦小区店),585,2.2,0.0,1.0,0.0,1.0,,Y,
CoCo都可(府前街店),CoCo,中荣城市广场(柴桥巷),194,1.8,10.0,0.4609,4.609,7.843,0.5876,,Y
古茗(乐清清远一区店),古茗,宝信商业广场,521,2.2,2.4,1.0,2.4,2.4,,Y,
古茗(景山印象里店),古茗,铂龙商业广场,62,2.2,8.2,0.9361,7.676,7.676,,,
蜜雪冰城(虹桥一店),蜜雪冰城,新族广场,121,2.5,0.8,1.0,0.8,0.8,,Y,
古茗(乐清汇丰路店),古茗,时代广场购物中心(乐清店),909,2.2,3.2,1.0,3.2,3.2,,,
古茗(鹿城游泳桥店),古茗,美美时尚广场,74,2.2,4.2,0.8902,3.739,3.739,,,
茶百道(茶山创荣店),茶百道,创荣商业广场,110,1.8,5.2,0.7075,3.679,3.699,,,
古茗(乐清北白象1店),古茗,东兴步行街,141,2.2,0.2,0.8531,0.171,0.165,,Y,
古茗(瓯海梧慈路店),古茗,亚新商城,430,2.2,1.0,1.0,1.0,1.0,,Y,
古茗(永嘉欧昌大楼店),古茗,大悦里商业街,162,2.2,2.6,1.0,2.6,2.6,,Y,
古茗(龙湾江锦家园店),古茗,温州龙湾万达广场-来电,777,2.2,2.4,0.9817,2.356,11.463,,Y,
茶百道(温州永中店),茶百道,永丰综合商城,106,1.8,1.0,1.0,1.0,1.0,,Y,
沪上阿姨·精选茶饮(温州乐清北白象店),沪上阿姨,东兴步行街,93,1.8,0.2,0.7954,0.159,0.165,,,
茶百道(大象城店),茶百道,温州大象城国际商贸中心,79,1.8,11.6,0.9026,10.471,10.471,,,
LELECHA乐乐茶(银泰百货瓯海店),乐乐茶,银泰百货(温州瓯海店),71,1.6,2.6,0.4438,1.154,1.154,1.0,,Y
古茗(乐清鸣阳路店),古茗,义乌直销商城,845,2.2,0.0,1.0,0.0,1.4,,Y,
古茗(瓯海瞿溪店),古茗,瞿溪新天地,571,2.2,0.8,1.0,0.8,0.8,,Y,
茶百道(温州乐清正大银泰店),茶百道,银泰百货(温州乐清店),129,1.8,1.8,0.5153,0.928,1.016,,,
古茗(瑞安革兴西街店),古茗,永丰超市(仙降镇前店),356,2.2,0.4,1.0,0.4,0.4,,Y,
古茗(龙港财富广场店),古茗,龙港财富广场,41,2.2,2.0,1.0,2.0,2.0,,Y,
古茗(瓯海金虹东街店),古茗,梦多多小镇,173,2.2,1.8,0.9705,1.747,1.747,,Y,
古茗(乐清百佳广场店),古茗,百佳广场,0,2.2,1.0,1.0,1.0,1.0,,Y,
古茗(鹿城兴海店),古茗,天都大酒店-商场,218,2.2,1.8,1.0,1.8,1.8,,Y,
茶百道(茶山欧尚店),茶百道,太一广场,79,1.8,2.6,1.0,2.6,2.6,,Y,
蜜雪冰城(汇豪锦园24h店),蜜雪冰城,温州港龙商业广场,220,2.5,17.2,0.5516,9.487,8.949,,,
茶百道(瓯海区府店),茶百道,中梁亿象商业广场,169,1.8,5.8,0.7723,4.48,4.872,,,
蜜雪冰城(华鸿中央公园店),蜜雪冰城,中梁亿象商业广场,273,2.5,6.6,0.9204,6.074,4.872,,,
古茗(乐清正大银泰3楼店),古茗,银泰百货(温州乐清店),129,2.2,1.8,0.6137,1.105,1.016,,,
古茗(瓯海商务中心店),古茗,优斯特购物商场(高教园区商务中心店),57,2.2,6.2,0.8781,5.445,5.445,,,
古茗(龙湾天河店),古茗,豪客购物中心(泰河路店),515,2.2,0.8,1.0,0.8,0.8,,Y,
古茗,古茗,义乌直销商城,302,2.2,2.8,1.0,2.8,1.4,,Y,
蜜雪冰城(创荣店商务中心十足对面),蜜雪冰城,创荣商业广场,69,2.5,5.2,0.7154,3.72,3.699,,,
古茗(乐清大荆店),古茗,财富中心,490,2.2,0.2,1.0,0.2,0.2,,Y,
LINLEE·手打柠檬茶(瓯海银泰店),LINLEE,银泰百货(温州瓯海店),71,1.5,2.6,0.4279,1.113,1.154,0.9642,,Y
古茗(瑞安东门店),古茗,万松商务生活广场,485,2.2,3.4,1.0,3.4,3.4,,,
古茗(瓯海金蟾大道店),古茗,郑阿奇数码商城,77,2.2,1.2,1.0,1.2,1.2,,Y,
古茗(瓯海仙岩河口塘店),古茗,名购购物中心(仙岩景桥店),853,2.2,0.0,1.0,0.0,0.0,,Y,
蜜雪冰城(茶山大学城-南柳小吃街店),蜜雪冰城,温大C区综合商场,474,2.5,1.8,1.0,1.8,1.8,,Y,
古茗(瑞安吾悦广场店),古茗,第吾大道步行街(吾悦广场店),68,2.2,3.8,0.8177,3.107,2.992,,,
古茗(瓯海亿象城店),古茗,中梁亿象商业广场,99,2.2,5.8,0.84,4.872,4.872,,,
古茗(瓯海汇豪锦园店),古茗,温州港龙商业广场,217,2.2,17.2,0.489,8.41,8.949,,,
茶百道(温州乐清天元广场店),茶百道,华都·天元广场,0,1.8,0.2,0.8642,0.173,0.173,,Y,
古茗(龙港西城路店),古茗,爱家家私商场(西二街店),612,2.2,0.8,1.0,0.8,0.8,,Y,
煲珠公·老红糖珍珠奶茶(温州龙湾万达店),煲珠公,万达广场(温州龙湾店),126,1.4,14.0,0.84,11.76,11.76,,,
古茗(瑞安东山学校店),古茗,瑞立外滩生活广场,540,2.2,0.8,1.0,0.8,0.5,,Y,
古茗(瓯海漫游天地),古茗,中庚漫游天地,116,2.2,20.2,0.6237,12.599,13.364,,,
古茗(鹿城百里店),古茗,朔门街,964,2.2,3.2,1.0,3.2,3.2,,,
蜜雪冰城(五马街小广场店),蜜雪冰城,大同商城(大同商城中楼店),110,2.5,10.8,0.7184,7.758,7.758,,,
古茗(瑞立生活广场店),古茗,瑞立外滩生活广场,76,2.2,0.2,1.0,0.2,0.5,,Y,
古茗(龙湾龙飞路店),古茗,龙珠商城,134,2.2,0.2,1.0,0.2,0.2,,Y,
茶百道(温州邻里中心店),茶百道,邻里广场(雁荡东路店),31,1.8,1.2,1.0,1.2,1.2,,Y,
蜜雪冰城(中庚漫游店),蜜雪冰城,中庚漫游天地,145,2.5,20.2,0.6995,14.13,13.364,,,
古茗(嘉兴南湖天地),古茗,南湖天地,62,2.2,3.4,0.4268,1.451,0.899,1.6139,,Y
喜茶(嘉兴南湖天地店),喜茶,南湖天地,235,2.0,1.0,0.5102,0.51,0.899,0.5675,,Y
茉莉奶白(南湖天地店),茉莉奶白,南湖天地,54,1.5,3.4,0.272,0.925,0.899,1.0286,,Y
霸王茶姬(浙江嘉兴南湖天地店),霸王茶姬,南湖天地,261,2.0,1.8,0.4852,0.873,0.899,0.9714,,Y
LELECHA乐乐茶(嘉兴南湖天地店),乐乐茶,南湖天地,255,1.6,1.8,0.4144,0.746,0.899,0.8297,,Y
蜜雪冰城(南湖天地负一楼万家超市收银台出口店),蜜雪冰城,南湖天地,47,2.5,3.4,0.4503,1.531,0.899,1.703,,Y
茶百道(嘉兴旭辉广场店),茶百道,嘉兴旭辉广场,17,1.8,16.0,0.3206,5.13,6.651,,,
CHAGEE霸王茶姬(浙江嘉兴南湖旭辉广场店),霸王茶姬,嘉兴旭辉广场,59,2.0,16.0,0.4422,7.075,6.651,,,
喜茶(嘉兴旭辉广场店),喜茶,嘉兴旭辉广场,27,2.0,16.0,0.3891,6.226,6.651,,,
1点点(嘉兴少年路店),一点点,嘉兴市华庭街购物中心有限公司,129,1.6,28.0,0.3501,9.802,13.722,,,
蜜雪冰城(旭辉广场店),蜜雪冰城,嘉兴旭辉广场,1,2.5,16.0,0.4458,7.133,6.651,,,
古茗(南湖区真合路店),古茗,南秀广场,748,2.2,18.4,0.3753,6.905,6.905,1.0,,Y
霸王茶姬(浙江嘉兴南湖少年路店),霸王茶姬,嘉兴市华庭街购物中心有限公司,178,2.0,31.2,0.4553,14.205,13.722,,,
CoCo都可(学院店),CoCo,南秀广场,755,1.8,17.6,0.3089,5.438,6.905,0.7875,,Y
1点点(嘉兴学院店),一点点,南秀广场,764,1.6,17.6,0.3477,6.119,6.905,0.8861,,Y
蜜雪冰城(吉水路店),蜜雪冰城,嘉兴八佰伴(中山路店),724,2.5,10.4,1.0,10.4,2.621,3.9686,,Y
古茗(嘉兴巴黎都市店),古茗,老佛爷购物中心,344,2.2,10.6,0.457,4.844,5.005,,,
沪上阿姨·精选茶饮(嘉兴南湖学院店),沪上阿姨,南秀广场,764,1.8,17.6,0.3919,6.898,6.905,0.999,,Y
春莱老挝咖啡·泰式奶茶(环城西路店),春莱,万安广场,197,1.4,10.8,0.8872,9.582,9.582,,,
CHAGEE霸王茶姬(浙江嘉兴南湖万科滨河荟店),霸王茶姬,南秀广场,171,2.0,17.8,0.9289,16.534,6.905,2.3944,,Y
1点点(农翔路店),一点点,老佛爷购物中心,403,1.6,10.6,0.5796,6.144,5.005,,,
蜜雪冰城(南湖学院店),蜜雪冰城,南秀广场,708,2.5,18.4,0.5359,9.861,6.905,1.428,,Y
古茗(南湖少年路店),古茗,嘉兴市华庭街购物中心有限公司,129,2.2,28.0,0.4728,13.239,13.722,,,
喜茶(嘉兴巴黎都市店),喜茶,老佛爷购物中心,310,2.0,8.2,0.4857,3.982,5.005,,,
CoCo都可(华庭广场店),CoCo,华庭街,60,1.8,26.8,0.3337,8.943,8.94,,,
1点点(嘉兴火车站北店),一点点,春波坊商贸北街,468,1.6,2.6,0.6763,1.758,1.758,,,
蜜雪冰城,蜜雪冰城,嘉兴市华庭街购物中心有限公司,184,2.5,29.6,0.5611,16.609,13.722,,,
CoCo都可(华庭街店),CoCo,华庭街,60,1.8,26.8,0.3335,8.937,8.94,,,
喜茶(嘉兴八佰伴购物中心店),喜茶,嘉兴八佰伴(中山路店),43,2.0,9.2,0.2768,2.547,2.621,0.9718,,Y
蜜雪冰城(嘉兴学院二店越秀集市边上),蜜雪冰城,南秀广场,776,2.5,16.0,0.445,7.12,6.905,1.0312,,Y
OT另茶(嘉兴八佰伴店),OT另茶,嘉兴八佰伴(中山路店),22,1.4,10.0,0.1719,1.719,2.621,0.656,,Y
奈雪的茶(嘉兴星河COCO City店),CoCo,嘉兴星河COCO City店,87,1.8,8.2,0.4221,3.461,2.964,1.1676,,Y
蜜雪冰城(巴黎都市店),蜜雪冰城,老佛爷购物中心,331,2.5,10.6,0.4873,5.165,5.005,,,
李若桃·手做酸奶铺(嘉兴八佰伴中山路店),李若桃,嘉兴八佰伴购物中心,48,1.4,8.4,0.2045,1.718,1.727,,,
CoCo都可(中山东路八百伴店),CoCo,嘉兴八佰伴(中山路店),14,1.8,10.0,0.2325,2.325,2.621,0.8872,,Y
茉酸奶( 嘉兴中山八佰伴店 ),茉酸奶,嘉兴八佰伴(中山路店),48,1.6,9.2,0.2848,2.621,2.621,1.0,,Y
蜜雪冰城(华庭街店),蜜雪冰城,名宏百货(步行街),55,2.5,27.6,0.5043,13.919,7.494,1.8573,,Y
茶百道(华府八佰伴店),茶百道,嘉兴八佰伴(华府店),0,1.8,11.4,0.1652,1.884,1.884,1.0,,Y
古茗(嘉兴八佰伴),古茗,嘉兴八佰伴购物中心,49,2.2,8.4,0.2935,2.466,1.727,,,
茶话弄(嘉兴星河COCOcity店),CoCo,嘉兴星河COCO City店,13,1.8,8.2,0.359,2.944,2.964,0.993,,Y
蜜雪冰城(中山路八佰伴店),蜜雪冰城,嘉兴八佰伴(中山路店),143,2.5,10.8,0.6423,6.937,2.621,2.647,,Y
Tamkoko泰柯茶园(嘉兴八佰伴店),Tamkoko泰柯茶园,嘉兴八佰伴购物中心,35,1.2,9.2,0.1685,1.55,1.727,,,
CoCo都可(新建国店),CoCo,名宏百货(步行街),177,1.8,21.0,0.5481,11.51,7.494,1.5359,,Y
福柠茶肆(嘉兴星河COCOCity店),CoCo,嘉兴星河COCO City店,130,1.8,7.4,0.4217,3.121,2.964,1.0528,,Y
CHAGEE霸王茶姬(浙江嘉兴城南八佰伴华府店),霸王茶姬,嘉兴八佰伴(华府店),7,2.0,11.4,0.1719,1.959,1.884,1.0403,,Y
蜜雪冰城(枫杨社区枫杨坊店),蜜雪冰城,嘉兴合乐城,717,2.5,8.8,1.0,8.8,3.047,2.8877,,Y
贡茶(八佰伴店),贡茶,嘉兴八佰伴(中山路店),283,1.4,11.6,0.7158,8.303,2.621,3.1685,,Y
喜茶(嘉兴八佰伴华府店),喜茶,嘉兴八佰伴(华府店),73,2.0,10.6,0.3974,4.213,1.884,2.2367,,Y
古茗(南湖华府八佰伴店),古茗,嘉兴八佰伴(华府店),30,2.2,10.6,0.2349,2.49,1.884,1.3221,,Y
茶百道(嘉兴月河店),茶百道,名宏百货(步行街),388,1.8,20.6,0.349,7.189,7.494,0.9593,,Y
茉酸奶(华府嘉兴八佰伴店),茉酸奶,嘉兴八佰伴(华府店),28,1.6,10.6,0.1683,1.784,1.884,0.9472,,Y
蜜雪冰城(月河店),蜜雪冰城,名宏百货(步行街),217,2.5,11.4,0.6574,7.494,7.494,1.0,,Y
CHAGEE霸王茶姬(浙江嘉兴南湖合乐城店),霸王茶姬,嘉兴合乐城,34,2.0,5.4,0.5643,3.047,3.047,1.0,,Y
LELECHA乐乐茶(嘉兴八佰伴华府店),乐乐茶,嘉兴八佰伴(华府店),14,1.6,10.6,0.1612,1.708,1.884,0.907,,Y
CoCo都可(月河店),CoCo,名宏百货(步行街),365,1.8,9.6,0.3742,3.593,7.494,0.4794,,Y
茶百道(嘉兴星河广场店),茶百道,嘉兴星河COCO City店,38,1.8,8.2,0.2672,2.191,2.964,0.7391,,Y
蜜雪冰城(华府八佰伴负一楼),蜜雪冰城,嘉兴八佰伴(华府店),19,2.5,10.6,0.2462,2.61,1.884,1.3856,,Y
古茗(嘉兴合乐城店),古茗,嘉兴合乐城,86,2.2,4.6,0.5777,2.657,3.047,0.872,,Y
1点点(嘉兴合乐城店),一点点,嘉兴合乐城,41,1.6,5.4,0.5215,2.816,3.047,0.924,,Y
茉莉奶白(嘉兴合乐城店),茉莉奶白,嘉兴合乐城,70,1.5,4.6,0.4342,1.997,3.047,0.6554,,Y
沪上阿姨·精选茶饮(嘉兴月河店),沪上阿姨,名宏百货(步行街),398,1.8,21.4,0.3677,7.869,7.494,1.0499,,Y
蜜雪冰城星河Coco店,蜜雪冰城,嘉兴星河COCO City店,31,2.5,8.2,0.364,2.985,2.964,1.007,,Y
1点点(华府嘉兴八佰伴店),一点点,嘉兴八佰伴(华府店),6,1.6,11.4,0.134,1.527,1.884,0.8109,,Y
古茗(星河COCO店),古茗,嘉兴星河COCO City店,64,2.2,8.2,0.3165,2.595,2.964,0.8755,,Y
霸王茶姬(浙江嘉兴星河COCOCity店),霸王茶姬,嘉兴星河COCO City店,83,2.0,8.2,0.3386,2.776,2.964,0.9365,,Y
1点点(嘉兴星河COCO City店店),CoCo,嘉兴星河COCO City店,46,1.8,8.2,0.4112,3.372,2.964,1.1375,,Y
古茗(月河历史文化街店),古茗,名宏百货(步行街),367,2.2,8.8,0.4709,4.144,7.494,0.553,,Y
CoCo都可(合乐城店),CoCo,嘉兴合乐城,130,1.8,5.2,0.6183,3.215,3.047,1.0551,,Y
沪上阿姨·精选茶饮(嘉兴星河广场店),沪上阿姨,嘉兴星河COCO City店,94,1.8,8.2,0.3107,2.548,2.964,0.8596,,Y
蜜雪冰城(洪贸街店),蜜雪冰城,老胡酒店用品商场,403,2.5,5.8,0.971,5.632,5.632,,,
爷爷不泡茶NOYEYENOTEA(嘉兴龙鼎万达店),爷爷不泡茶,万达广场(嘉兴龙鼎店),3,2.0,2.8,0.2421,0.678,0.777,0.8728,,Y
蜜雪冰城(泾水路店),蜜雪冰城,嘉兴合乐城,378,2.5,5.0,0.942,4.71,3.047,1.5456,,Y
霸王茶姬(浙江嘉兴南湖龙鼎万达店),霸王茶姬,万达广场(嘉兴龙鼎店),0,2.0,2.8,0.2408,0.674,0.777,0.8681,,Y
喜茶(嘉兴龙鼎万达店),喜茶,室内步行街,47,2.0,4.4,0.2783,1.225,1.002,,,
luckin coffee瑞幸咖啡(颐高数码大厦店),瑞幸,利丰商业中心,262,2.2,4.4,0.9822,4.322,4.322,,,
蜜雪冰城(江南年华店),蜜雪冰城,江南·年华商业中心,73,2.5,6.6,0.9216,6.082,6.082,,,
古茗(友谊街店),古茗,友谊街风情街,343,2.2,5.8,0.6817,3.954,4.107,,,
古茗(嘉兴经开万达店),古茗,万达广场(嘉兴龙鼎店),56,2.2,3.6,0.4357,1.569,0.777,2.02,,Y
古茗(南湖嘉职院店),古茗,泰富世界城,426,2.2,6.6,0.7822,5.162,5.296,,,
LELECHA乐乐茶(龙鼎万达广场店),乐乐茶,万达广场(嘉兴龙鼎店),30,1.6,2.8,0.2102,0.588,0.777,0.7578,,Y
蜜雪冰城(嘉职院店),蜜雪冰城,泰富世界城,464,2.5,6.6,0.8226,5.429,5.296,,,
茶百道(嘉兴双溪路店),茶百道,嘉兴中港城,799,1.8,2.4,1.0,2.4,2.4,,Y,
1点点(嘉兴龙鼎万达广场店),一点点,室内步行街,13,1.6,4.4,0.2383,1.049,1.002,,,
蜜雪冰城(龙鼎万达负一楼店),蜜雪冰城,万达广场(嘉兴龙鼎店),17,2.5,2.8,0.3126,0.875,0.777,1.1272,,Y
茉酸奶(嘉兴龙鼎万达广场店),茉酸奶,室内步行街,22,1.6,4.4,0.1935,0.852,1.002,,,
蜜雪冰城(建明公寓店),蜜雪冰城,友谊街风情街,366,2.5,5.8,0.7344,4.26,4.107,,,
蜜雪冰城(嘉城绿都春兰苑店),蜜雪冰城,嘉润购物中心,781,2.5,2.4,0.9834,2.36,2.447,,Y,
蜜雪冰城(瑞州广场店),蜜雪冰城,大自然购物广场,15,2.5,3.4,1.0,3.4,3.4,,,
CoCo都可(嘉兴东栅万悦集店),CoCo,嘉兴东栅万悦集,47,1.8,4.2,0.6391,2.684,2.712,,,
茶百道(经开万达店)(暂停营业),茶百道,室内步行街,24,1.8,4.4,0.2173,0.956,1.002,,,
古茗(南湖嘉诚绿都店),古茗,嘉润购物中心,430,2.2,3.4,0.7455,2.535,2.447,,,
LELECHA乐乐茶(嘉兴南湖经开万朵城店),乐乐茶,禾集商业街区,978,1.6,1.6,0.3029,0.485,0.68,,,
蜜雪冰城(双溪花园店),蜜雪冰城,嘉兴东栅万悦集,424,2.5,5.0,0.9675,4.838,2.712,,,
蜜雪冰城(嘉兴东栅万悦集店),蜜雪冰城,嘉兴东栅万悦集,52,2.5,4.2,0.6524,2.74,2.712,,,
CHAGEE霸王茶姬(浙江嘉兴南湖东栅万悦集店),霸王茶姬,嘉兴东栅万悦集,66,2.0,4.2,0.5577,2.342,2.712,,,
蜜雪冰城(锦绣社区三元路店),蜜雪冰城,瑞洲购物中心(锦绣农贸市场三元路店),55,2.5,1.0,1.0,1.0,0.5,,Y,
沪上阿姨·精选茶饮(嘉兴南湖万朵城店),沪上阿姨,禾集商业街区,981,1.8,1.6,0.4249,0.68,0.68,,,
喜茶(嘉兴杉杉in象店),喜茶,杉杉in象生活广场,97,2.0,2.0,0.5137,1.027,1.278,,,
