名称,品牌,商圈,own_S,D,P,P_adj,D×P,P_blind,低证据点
喝喝茶,个体/杂牌,杭州湖滨in77,1.0,6.6,0.9133,0.9051,6.028,0.9133,
柠好鸭·手打柠檬茶(湖滨店),柠好鸭,杭州湖滨in77,1.2,8.6,0.7966,0.8158,6.851,0.7655,
蜜雪冰城(涌金广场店),蜜雪冰城,杭州湖滨in77,2.5,3.2,0.9878,0.933,3.161,0.9701,
熹子茶馆(杭州湖滨店),个体/杂牌,杭州湖滨in77,1.0,1.8,0.9406,0.8666,1.693,0.9406,Y
蜜雪冰城(中山中路362号店),蜜雪冰城,杭州湖滨in77,2.5,5.6,1.0,0.9781,5.6,1.0,
沪上阿姨·精选茶饮(杭州中山中路店),沪上阿姨,杭州湖滨in77,1.8,5.6,1.0,0.9781,5.6,1.0,
悦小颜鲜竹奶茶店,个体/杂牌,杭州湖滨in77,1.0,0.2,0.9587,0.8627,0.192,0.9587,Y
手打柠檬茶,个体/杂牌,杭州湖滨in77,1.0,1.8,0.9346,0.8606,1.682,0.9346,Y
angtea艾熟茶(杭州嘉里中心店),angtea艾熟茶,杭州湖滨in77,1.2,5.8,0.8428,0.8236,4.888,0.8171,
柠檬向右(杭州湖滨88店)(暂停营业),个体/杂牌,杭州湖滨in77,1.0,6.6,0.3601,0.3518,2.376,0.3601,
CoCo都可(海宁银泰店),CoCo,海宁银泰商圈,1.8,2.0,0.8485,0.7772,1.697,0.7568,Y
李若桃·手作酸奶铺(嘉兴海宁银泰城店),李若桃,海宁银泰商圈,1.4,2.0,0.8091,0.7378,1.618,0.7517,Y
蜜雪冰城(银泰城负一楼店),蜜雪冰城,海宁银泰商圈,2.5,2.0,0.7881,0.7168,1.576,0.598,
茉莉奶白(嘉兴海宁银泰城店),茉莉奶白,海宁银泰商圈,1.5,2.0,0.8522,0.7809,1.704,0.7935,Y
麦记牛奶(海宁银泰店),麦记牛奶,海宁银泰商圈,1.4,4.4,0.6043,0.5659,2.659,0.5217,
Tamkoko泰柯茶园(海宁银泰店),Tamkoko泰柯茶园,海宁银泰商圈,1.2,4.4,0.3547,0.3163,1.561,0.3141,
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),沪上阿姨,海宁银泰商圈,1.8,4.4,0.4513,0.4129,1.986,0.3136,
茶百道(海宁银泰百货店),茶百道,海宁银泰商圈,1.8,2.8,0.8926,0.8323,2.499,0.822,Y
OT另茶(海宁银泰城店),OT另茶,海宁银泰商圈,1.4,4.4,0.3881,0.3497,1.708,0.3118,
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),煲珠公,海宁银泰商圈,1.4,4.4,0.4816,0.4432,2.119,0.3988,
茶理宜世(海宁银泰店),茶理宜世,海宁银泰商圈,1.5,4.4,0.5621,0.5237,2.473,0.4611,
CHAGEE霸王茶姬(海宁银泰店),霸王茶姬,海宁银泰商圈,2.0,5.2,0.5795,0.5521,3.013,0.4079,
喜茶(海宁银泰城店),喜茶,海宁银泰商圈,2.0,5.2,0.6176,0.5902,3.212,0.4468,
蜜雪冰城(银泰店),蜜雪冰城,海宁银泰商圈,2.5,3.6,0.5179,0.4685,1.864,0.3005,
渝品燕鲜炖热饮,个体/杂牌,海宁银泰商圈,1.0,1.6,1.0,0.9232,1.6,1.0,Y
茶百道(华润店),茶百道,海宁银泰商圈,1.8,0.0,1.0,0.9013,0.0,1.0,Y
LELECHA乐乐茶(嘉兴海宁映运汇店),乐乐茶,海宁银泰商圈,1.6,0.0,1.0,0.9013,0.0,1.0,Y
